名稱,地址,地點類型,地區
福林寵物公園,桃園市桃園區介壽路281號,狗狗公園,桃園市
仁德公園,桃園市中壢區崁頂路,狗狗公園,桃園市
平鎮運動公園（桃園市平鎮區）,桃園市平鎮區快速路三段,狗狗公園,桃園市
大湖紀念公園,桃園市龜山區忠義路二段638巷,狗狗公園,桃園市
甡甡寵物公園,桃園市楊梅區甡甡路625號,狗狗公園,桃園市
中正公園,高雄市苓雅區中正一路,狗狗公園,高雄市
岡山寵物公園,高雄市岡山區介壽路,狗狗公園,高雄市
楠梓寵物公園,高雄市楠梓區創新路93號之一,狗狗公園,高雄市
中山公園,高雄市鳳山區國泰路一段,狗狗公園,高雄市
前鎮寵物公園,高雄市前鎮區時代大道,狗狗公園,高雄市
迎風狗運動公園,台北市松山區莊敬里,狗狗公園,台北市
三重寵物公園,新北市三重區淡水河畔,狗狗公園,新北市
土城綜合體育場寵物公園,新北市土城區金城路二段247-1號,狗狗公園,新北市
中和四號寵物公園,新北市中和區中安街102號,狗狗公園,新北市
泉源公園寵物專區,台中市東區樂業一路79號,狗狗公園,台中市
新竹左岸狗狗公園,新竹市東區中華路一段1巷,狗狗公園,新竹市
頭前溪狗公園,新竹市東區東西向快速公路南寮竹東線,狗狗公園,新竹市
力行寵物公園,新北市林口區民族路與號文化北路526巷口,狗狗公園,新北市
蘆堤寵物公園,新北市五股區環提大道,狗狗公園,新北市
綠寶石寵物公園,新北市永和區綠寶石運動公園,狗狗公園,新北市
后里環保公園,台中市后里區舊社里,狗狗公園,台中市
新平公園,台中市北屯區中平路789巷76號,狗狗公園,台中市
文心森林公園,台中市南屯區文心路一段289號,狗狗公園,台中市
竹東鎮狗狗公園,新竹縣竹東鎮,狗狗公園,新竹縣
新莊寵物公園,新北市新莊區新樹路平行之大漢溪溪畔,狗狗公園,新北市
信義廣場狗活動區,台北市信義區信義路五段11號,狗狗公園,台北市
新竹市寵物公園,新竹市東區興竹街152號,狗狗公園,新竹市
福順狗運動公園,台北市士林區通河西街一段24號,狗狗公園,台北市
週美狗活動區,台北市內湖區潭美街219號,狗狗公園,台北市
華江狗活動區,台北市萬華區華江狗公園,狗狗公園,台北市
景勤狗活動區,台北市信義區信安街67巷,狗狗公園,台北市
美堤狗活動區,台北市中山區樂群一路基隆河基16號水門,狗狗公園,台北市
浮洲寵物公園,新北市板橋區機車專用道23號,狗狗公園,新北市
親情河濱公園(新北市新店區),新北市新店區110,狗狗公園,新北市
苗栗東興河濱公園,苗栗縣頭份市東興河濱公園,狗狗公園,苗栗縣
員林寵物公園,彰化縣員林市員南路,狗狗公園,彰化縣
安平寵物運動公園,台南市安平區洲平路,狗狗公園,台南市
高屏溪河濱寵物運動公園,屏東縣屏東市前進里(屏東縣高屏溪左岸高灘地),狗狗公園,屏東縣
潭美毛寶貝快樂公園,台北市內湖區潭美街852號,狗狗公園,台北市
華山公園狗活動區,台北市中正區林森北路28號,狗狗公園,台北市
萬興狗活動區,台北市文山區116,狗狗公園,台北市
至善公園(福林)狗狗活動區,台北市士林區至善路一段,狗狗公園,台北市
北勢湖公園狗活動區,台北市內湖區,狗狗公園,台北市
玉成公園狗活動區,台北市信義區中坡南路58號,狗狗公園,台北市
大同狗活動區,台北市北投區北投路二段4號,狗狗公園,台北市
洲美狗活動區,台北市北投區福美路,狗狗公園,台北市
葫東狗狗活動區,台北市士林區中正路589號,狗狗公園,台北市
三腳渡狗狗活動區,台北市士林區通河東街一段7號,狗狗公園,台北市
古亭狗活動區,台北市中正區同安街109巷10號,狗狗公園,台北市
 延平狗活動區,台北市大同區 103,狗狗公園,台北市
青峰狗活動區(台北市大安區),台北市大安區黎元里青峰公園內(辛亥路三段)。,狗狗公園,台北市
中和民有公園,新北市中和區中山路三段122號,狗狗公園,新北市
土城寵物公園(新北市土城區),新北市土城區裕民路193之一號,狗狗公園,新北市
淡水新市鎮寵物公園,新北市淡水區新市二路二段,狗狗公園,新北市
林口松柏滯洪池公園,新北市林口區松柏路18號,狗狗公園,新北市
福林公園,桃園市桃園區介壽路281號,狗狗公園,桃園市
中成寵物公園,桃園市桃園區國際路二段475巷,狗狗公園,桃園市
蘆竹寵物公園,桃園市蘆竹區忠孝西路59號,狗狗公園,桃園市
桃園寵物公園,桃園市龜山區長庚路樂學路口,狗狗公園,桃園市
五股環保藝術公園狗公園,新北市五股區中興路3段 58巷15號,狗狗公園,新北市
華江寵物公園,新北市板橋區機慢車專用道800號台灣,狗狗公園,新北市
獇寮寵物公園,新北市樹林區三多路139號,狗狗公園,新北市
龜山長樂公園,桃園市龜山區333,狗狗公園,桃園市
寵物示範公園,桃園市桃園區,狗狗公園,桃園市
華中狗活動區,台北市萬華區華中橋,狗狗公園,台北市
協仁公園,台中市西屯區福玄路55號,狗狗公園,台中市
清水寵物運動公園,台中市清水區中一路,狗狗公園,台中市
德興公園,台中市太平區新興路554號,狗狗公園,台中市
馬卡龍 寵物公園,台中市太平區環中東路四段19號,狗狗公園,台中市
公一之三公園,台中市西屯區,狗狗公園,台中市
永和仁愛公園,新北市永和區仁愛路244-1號,狗狗公園,新北市
國道5號石碇服務區,新北市石碇區文山路1段6號,狗狗公園,新北市
新濱公園,新北市淡水區濱海路三段,狗狗公園,新北市
汐止星光寵物奔跑區,新北市汐止區鄉長路一段55巷21號,狗狗公園,新北市
經國環保公園,桃園市桃園區莊敬路一段101號,狗狗公園,桃園市
桃園寵物公園,桃園市平鎮區民族路雙連二段118巷9號,狗狗公園,桃園市
大溪覆土區公園,桃園市大溪區公園路,狗狗公園,桃園市
狗老大 寵物渡假會館,桃園市蘆竹區新生路290巷148號,狗狗公園,桃園市
中路休閒運動公園,桃園市八德區國際一路176-8號,狗狗公園,桃園市
中泰里寵物公園,桃園市桃園區國際路一段975巷8號,狗狗公園,桃園市
興仁親子公園寵物專區,桃園市中壢區興仁路二段,狗狗公園,桃園市
中大公園,桃園市八德區興豐路與號建德路交叉口,狗狗公園,桃園市
角板山寵物遛放公園,桃園市復興區中正路2號,狗狗公園,桃園市
石門大草坪,桃園市龍潭區佳安路2號,狗狗公園,桃園市
向陽寵物公園,桃園市桃園區力行路389號,狗狗公園,桃園市
婦幼公園,桃園市龜山區忠義路二段438號,狗狗公園,桃園市
東山服務區,台南市東山區,狗狗公園,台南市
森呼吸JORONA PARK寵物農場,台南市關廟區中大街138巷7號,寵物休閒農場,台南市
南瀛綠都心寵物運動公園,台南市新營區民治路36號,狗狗公園,台南市
西灣里寵物友善公園,台南市永康區永善一街與號永榮路口,狗狗公園,台南市
